feature,gain
acwr_3_21,8728.720844976604
rhr_last7_delta,1905.6550399571656
acute_load7,1505.4696927025914
team_id,605.3874771595001
sleep_slope,386.5689206726849
start_hour_mean,347.69202689528464
rhr_std,326.85640036575495
sleep_last7_delta,279.93522407719865
load_wow_max_jump,276.48816410712897
acwr_7_28,264.0094148218632
max_day_z,251.88677808493375
bmi_base,242.61908842623234
sleep_std,238.26622510105372
hrr_slope,220.43576831668616
start_hour_std,208.11783040612937
rhr_rise_x_load,201.17035528421403
position,196.3043869972229
VeryActiveMinutes_std,193.70521366894246
steps_slope,191.38661316633224
wt_bmi,184.73971414268016
height_cm,183.97128364741803
load_w4_over_w1,181.46107580289245
FairlyActiveMinutes_std,169.09888621307908
sleep_eff,168.10682466328143
last7_vs_prev21,168.07647430300713
rhr_slope,167.03122811317445
weight_kg_baseline,166.88344350159167
wt_change,159.9518110960722
load_w4,157.69823695123196
late_intensity_share,156.12715802043675
exp_per_age,155.92498263716698
hrmax_max,155.85356811285018
strain_per_sleep,155.2136584609747
LightlyActiveMinutes_std,151.61267718747257
acwr_x_priorinj,144.42935858694835
wt_mean,143.1516083866358
scrimmage_ratio,141.221202326566
hrmean_slope,136.31880033463239
int_day_slope,136.0309798233211
monotony,126.85153919458389
hrr_mean,125.26597924381494
strain,122.2817454725504
load_per_kg,121.96406402811408
hours_mean,121.44598872363568
int_day_mean,120.76323315054178
load_max,113.98159849643707
gym_ratio,105.17370199412107
load_w1,101.18856669068336
load_std,100.69212799072265
rhr_last7,99.25797723121941
sess_hours_w4_over_w1,97.90312951207162
hrmax_mean,96.90740672051906
load_slope,91.70778719484807
hour_steps_max,90.95167997479439
Calories_std,90.05764926299453
hrmean_mean,81.42419116484234
sleep_last7,76.98926186859607
rhr_mean,76.85911398530007
FairlyActiveMinutes_mean,76.47529009431601
hour_steps_p95,75.98098088353872
FairlyActiveMinutes_max,72.66301205158234
wt_n_logs,71.52704827785492
active_hours,71.28865696191788
Calories_mean,67.86333714351058
int_peak_mean,65.30638132840394
chronic_load28,65.01070576608181
Calories_max,64.4160234093666
sleep_min,63.36593282371759
LightlyActiveMinutes_mean,62.835157465934756
sleep_mean,62.286561228707434
load_per_sleep,58.29362578392029
load_mean,54.515067893266675
TotalSteps_std,53.00142901390791
age,52.3174195677042
sleep_debt,50.81927644610405
TotalSteps_mean,50.72179947793484
hours_total,49.85841165035963
TotalSteps_max,49.26744228005409
prior_rate,44.48956346809864
hi_frac_mean,40.61486941576004
n_practice,39.79652072191239
VeryActiveMinutes_mean,39.06333975195885
years_playing,36.2725694142282
int_peak_max,34.91587125062942
VeryActiveMinutes_max,32.96214300394058
TotalDistance_mean,32.42608558535576
TotalDistance_max,29.089338290691376
n_sessions,28.892220751941203
TotalDistance_std,28.616838228702544
LightlyActiveMinutes_max,26.023046135902405
n_gym,23.690252041816713
n_scrimmage,13.14606614112854
rest_days_total,12.16299135684967
gender,3.335554003715515
prior_season_injury_count,3.0254679918289185
max_streak,0.6038000106811523
spike_days,0.0
short_nights,0.0
sport,0.0
dominant_side,0.0
