feature,gain
acwr_3_21,7809.262365743518
acute_load7,1400.3587697386743
rhr_last7_delta,665.3507467389106
team_id,521.4455624103546
last7_vs_prev21,418.54533800929784
rhr_slope,358.1724094472826
hrr_slope,341.4781340152025
sleep_slope,301.3886309802532
start_hour_mean,271.32477269284425
rhr_std,251.52114063156768
sleep_last7_delta,224.94926813989878
sleep_std,190.9211020283401
max_day_z,190.44313466325403
load_wow_max_jump,190.0368558779359
acwr_7_28,183.72162711843848
start_hour_std,166.39962523952127
wt_bmi,151.0443766117096
bmi_base,146.75568652302027
VeryActiveMinutes_std,145.86273911371828
LightlyActiveMinutes_std,143.55236712694168
FairlyActiveMinutes_std,143.04990415498614
acwr_x_priorinj,142.95899750441313
height_cm,140.83702185600995
load_w4_over_w1,137.37928129136563
position,134.00598878860472
wt_mean,133.51053544580935
late_intensity_share,128.96117634922265
hrmax_max,128.7015246272087
load_w4,126.11521666198969
weight_kg_baseline,123.33494870662689
load_per_kg,122.11628376618027
strain_per_sleep,118.98176644742489
monotony,118.02259916067123
sleep_eff,116.38409886956215
wt_change,115.96315104365348
exp_per_age,112.18851573145949
steps_slope,109.55572921037674
int_day_slope,107.12988762259484
strain,101.40408535897731
int_day_mean,98.63082541227341
hrmean_slope,97.89270990490914
hrr_mean,96.64405465573073
gym_ratio,95.70005482435226
hours_mean,94.76902271807194
scrimmage_ratio,94.64663216024637
load_w1,92.58906949087978
load_slope,87.61699146330356
rhr_rise_x_load,82.91992495656014
hour_steps_max,77.8924332678318
load_max,76.2833471685648
load_std,75.93114789128303
sess_hours_w4_over_w1,74.70354721844197
rhr_last7,73.23922250121832
Calories_mean,72.82441279254854
sleep_min,66.4694708481431
rhr_mean,65.53238131701946
hrmax_mean,64.54298616349698
Calories_std,62.287644875049594
load_per_sleep,60.111074921488765
Calories_max,57.67630233764648
hour_steps_p95,57.551056946069004
FairlyActiveMinutes_mean,57.13320764303207
sleep_mean,48.80513827726245
chronic_load28,48.17314467430115
TotalSteps_mean,48.05731592588127
FairlyActiveMinutes_max,47.19585684537888
sleep_last7,46.88626772370189
int_peak_mean,46.63583617210388
hours_total,46.27546219266951
TotalSteps_max,46.09606152921915
wt_n_logs,46.06502093374729
LightlyActiveMinutes_mean,45.0638263463974
TotalSteps_std,44.902993224561214
active_hours,41.91951635032892
years_playing,41.10004058480263
age,40.21356793642044
int_peak_max,37.949292838573456
prior_rate,33.479869812726974
n_practice,33.37805613949895
hi_frac_mean,32.14556392431259
hrmean_mean,31.459989202022552
sleep_debt,31.263559293746948
TotalDistance_mean,27.240822428464888
load_mean,26.32321903705597
LightlyActiveMinutes_max,24.929434978961943
VeryActiveMinutes_max,23.969229888916015
VeryActiveMinutes_mean,20.8579420208931
TotalDistance_max,19.82729490995407
n_gym,18.493975776433945
TotalDistance_std,16.97699343562126
n_sessions,11.703581941127776
n_scrimmage,6.840869140625
rest_days_total,5.87888890504837
active_days,5.683347940444946
prior_season_injury_count,4.788820576667786
gender,3.7303279876708983
dominant_side,1.9143035411834717
SedentaryMinutes_std,0.0
SedentaryMinutes_mean,0.0
SedentaryMinutes_max,0.0
spike_days,0.0
rest_days,0.0
sed_slope,0.0
short_nights,0.0
hours_max,0.0
sport,0.0
sessions_per_active_day,0.0
max_streak,0.0
